PRF,amp,db,duration,pulse_duration,state,trial,window
,3.0,,0.08,,us_cont,18.0,0.036
1500.0,5.5,,0.1,0.00016,us_burst,3.0,0.0
,1.5,,0.08,,us_cont,27.0,0.024
1500.0,1.5,,0.1,0.00016,us_burst,26.0,0.0
,5.5,,0.16,,us_cont,1.0,0.036
,1.5,,0.08,,us_cont,24.0,0.024
,5.5,,0.16,,us_cont,3.0,0.024
,3.0,,0.16,,us_cont,29.0,0.006
,1.5,,0.16,,us_cont,25.0,0.036
,3.0,,0.16,,us_cont,6.0,0.0
,5.5,,0.08,,us_cont,20.0,0.036
,3.0,,0.16,,us_cont,15.0,0.024
,5.5,,0.08,,us_cont,15.0,0.024
,1.5,,0.16,,us_cont,12.0,0.0
,3.0,,0.08,,us_cont,26.0,0.036
,5.5,,0.08,,us_cont,20.0,0.006
,5.5,,0.16,,us_cont,22.0,0.036
,3.0,,0.16,,us_cont,14.0,0.036
,1.5,,0.08,,us_cont,22.0,0.0
1500.0,3.0,,0.1,0.00016,us_burst,14.0,0.0
,5.5,,0.08,,us_cont,18.0,0.0
,3.0,,0.16,,us_cont,20.0,0.006
,3.0,,0.08,,us_cont,21.0,0.036
,5.5,,0.16,,us_cont,16.0,0.0
1500.0,1.5,,0.1,0.00016,us_burst,13.0,0.0
,,50.0,0.0001,,click,21.0,
,1.5,,0.16,,us_cont,19.0,0.006
,1.5,,0.16,,us_cont,0.0,0.024
,5.5,,0.08,,us_cont,24.0,0.024
,,70.0,0.0001,,click,0.0,
,3.0,,0.16,,us_cont,17.0,0.0
,,70.0,0.0001,,click,27.0,
,1.5,,0.08,,us_cont,11.0,0.036
,5.5,,0.16,,us_cont,9.0,0.036
,5.5,,0.08,,us_cont,5.0,0.006
,,80.0,0.0001,,click,9.0,
,,60.0,0.0001,,click,22.0,
,3.0,,0.16,,us_cont,27.0,0.0
,3.0,,0.16,,us_cont,16.0,0.036
,3.0,,0.08,,us_cont,16.0,0.006
,5.5,,0.16,,us_cont,28.0,0.006
,,40.0,0.0001,,click,28.0,
1500.0,5.5,,0.1,0.00016,us_burst,10.0,0.0
1500.0,5.5,,0.1,0.00016,us_burst,4.0,0.0
,3.0,,0.16,,us_cont,3.0,0.036
,,30.0,0.0001,,click,28.0,
,,40.0,0.0001,,click,21.0,
,1.5,,0.16,,us_cont,4.0,0.006
,1.5,,0.08,,us_cont,1.0,0.024
,1.5,,0.08,,us_cont,4.0,0.036
,3.0,,0.16,,us_cont,4.0,0.0
1500.0,5.5,,0.1,0.00016,us_burst,28.0,0.0
,5.5,,0.08,,us_cont,28.0,0.0
,3.0,,0.16,,us_cont,21.0,0.0
