PRF,amp,duration,pulse_duration,state,trial,window
,0.79,0.16,,us_cont,2.0,0.006
1500.0,0.0,0.1,0.00016,us_burst,7.0,40.0
,0.79,0.08,,us_cont,26.0,0.024
,1.58,0.16,,us_cont,25.0,0.0
,1.58,0.16,,us_cont,27.0,0.024
,1.58,0.16,,us_cont,28.0,0.024
,3.16,0.16,,us_cont,29.0,0.036
,0.79,0.08,,us_cont,18.0,0.036
,0.79,0.08,,us_cont,23.0,0.0
,0.79,0.08,,us_cont,12.0,0.006
1500.0,0.79,0.1,0.00016,us_burst,4.0,40.0
,3.16,0.16,,us_cont,17.0,0.024
,1.58,0.16,,us_cont,16.0,0.024
1500.0,3.16,0.1,0.00016,us_burst,10.0,40.0
1500.0,1.58,0.1,0.00016,us_burst,11.0,40.0
,1.58,0.16,,us_cont,20.0,0.036
,0.79,0.08,,us_cont,10.0,0.024
,3.16,0.16,,us_cont,19.0,0.0
,1.58,0.16,,us_cont,23.0,0.036
,3.16,0.16,,us_cont,28.0,0.036
1500.0,3.16,0.1,0.00016,us_burst,19.0,0.0
1500.0,0.79,0.1,0.00016,us_burst,1.0,0.0
,1.58,0.08,,us_cont,1.0,0.0
,0.79,0.16,,us_cont,4.0,0.006
1500.0,0.0,0.1,0.00016,us_burst,6.0,40.0
,0.79,0.16,,us_cont,5.0,0.024
1500.0,3.16,0.1,0.00016,us_burst,17.0,0.0
1500.0,0.79,0.1,0.00016,us_burst,0.0,0.0
,3.16,0.16,,us_cont,17.0,0.036
,0.79,0.08,,us_cont,27.0,0.024
1500.0,1.58,0.1,0.00016,us_burst,16.0,0.0
,1.58,0.16,,us_cont,29.0,0.036
,1.58,0.16,,us_cont,2.0,0.024
,1.58,0.08,,us_cont,4.0,0.036
,0.79,0.08,,us_cont,2.0,0.036
,0.79,0.08,,us_cont,1.0,0.006
,0.79,0.08,,us_cont,0.0,0.024
,0.79,0.08,,us_cont,4.0,0.036
1500.0,3.16,0.1,0.00016,us_burst,1.0,0.0
,0.79,0.16,,us_cont,20.0,0.0
1500.0,0.79,0.1,0.00016,us_burst,21.0,0.0
,3.16,0.08,,us_cont,6.0,0.024
,1.58,0.08,,us_cont,11.0,0.006
,3.16,0.16,,us_cont,1.0,0.0
1500.0,0.79,0.1,0.00016,us_burst,22.0,40.0
